bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G39000300141002,390030141002,G39000300141002,390030141002,1,1,1,1,1,1
G39000300141003,390030141003,G39000300141003,390030141003,1,1,1,1,1,1
G39000509701001,390059701001,G39000509701011,390059701011,1,1,1,1,1,1
G39000509701002,390059701002,G39000509701021,390059701021,1,1,1,1,1,1
G39000509701003,390059701003,G39000509701022,390059701022,1,1,1,1,1,1
G39000509701004,390059701004,G39000509701023,390059701023,1,1,1,1,1,1
G39000509702001,390059702001,G39000509702001,390059702001,1,1,1,1,1,1
G39000509702002,390059702002,G39000509702002,390059702002,1,1,1,1,1,1
G39000509702003,390059702003,G39000509702003,390059702003,1,1,1,1,1,1
G39000509702004,390059702004,G39000509702004,390059702004,1,1,1,1,1,1
G39000509703001,390059703001,G39000509703001,390059703001,1,1,1,1,1,1
G39000509703002,390059703002,G39000509703002,390059703002,1,1,1,1,1,1
G39000509703003,390059703003,G39000509703003,390059703003,1,1,1,1,1,1
G39000509703004,390059703004,G39000509703004,390059703004,1,1,1,1,1,1
G39000509704001,390059704001,G39000509704001,390059704001,1,1,1,1,1,1
G39000509704002,390059704002,G39000509704002,390059704002,0.999954148264,0.999939364293,0.999933833218,1,0.999941753431,0.999957324083
G39000509704002,390059704002,G39000509704001,390059704001,4.5851736e-5,6.0635707e-5,6.6166782e-5,0,5.8246569e-5,4.2675917e-5
G39000509704003,390059704003,G39000509704003,390059704003,1,1,1,1,1,1
G39000509704004,390059704004,G39000509704004,390059704004,1,1,1,1,1,0.999724980061
G39000509704004,390059704004,G39000509704002,390059704002,0,0,0,0,0,2.75019939e-4
G39000509705001,390059705001,G39000509705001,390059705001,1,1,1,1,1,1
G39000509705002,390059705002,G39000509705002,390059705002,1,1,1,1,1,1
G39000509705003,390059705003,G39000509705003,390059705003,1,1,1,1,1,1
G39000509705004,390059705004,G39000509705004,390059705004,1,1,1,1,1,1
G39000509706001,390059706001,G39000509706001,390059706001,1,1,1,1,1,1
G39000509706002,390059706002,G39000509706002,390059706002,1,1,1,1,1,1
G39000509706003,390059706003,G39000509706003,390059706003,1,1,1,1,1,1
G39000509706004,390059706004,G39000509706004,390059706004,1,1,1,1,1,1
G39000509707001,390059707001,G39000509707001,390059707001,1,1,1,1,1,1
G39000509707002,390059707002,G39000509707005,390059707005,0.359908883827,0.364751812605,0.338966202783,0.293381037567,0.335800185014,0.537185766613
G39000509707002,390059707002,G39000509707004,390059707004,0.640091116173,0.635248187395,0.661033797217,0.706618962433,0.664199814986,0.462814233387
G39000509707003,390059707003,G39000509707002,390059707002,1,1,1,1,1,1
G39000509707004,390059707004,G39000509707003,390059707003,1,1,1,1,1,0.999810556628
G39000509707004,390059707004,G39000509706004,390059706004,0,0,0,0,0,1.89443372e-4
G39000509708001,390059708001,G39000509708003,390059708003,1,1,1,1,1,1
G39000509708002,390059708002,G39000509708003,390059708003,1,1,1,1,1,1
G39000509708003,390059708003,G39000509708001,390059708001,1,1,1,1,1,1
G39000509708004,390059708004,G39000509708002,390059708002,1,1,1,1,1,1
G39000509709001,390059709001,G39000509709001,390059709001,1,1,1,1,1,1
G39000509709002,390059709002,G39000509709002,390059709002,1,1,1,1,1,1
G39000509709003,390059709003,G39000509709003,390059709003,1,1,1,1,1,1
G39000509709004,390059709004,G39000509709004,390059709004,1,1,1,1,1,1
G39000509710001,390059710001,G39000509710001,390059710001,1,1,1,1,1,1
G39000509710002,390059710002,G39000509710002,390059710002,1,1,1,1,1,1
G39000509710003,390059710003,G39000509710003,390059710003,1,1,1,1,1,1
G39000509710004,390059710004,G39000509710004,390059710004,1,1,1,1,1,1
G39000509711001,390059711001,G39000509711001,390059711001,1,1,1,1,1,1
G39000509711002,390059711002,G39000509711002,390059711002,1,1,1,1,1,1
G39000509711003,390059711003,G39000509711003,390059711003,0.999946336644,0.999966862259,0.999968275486,0.999955428369,0.999973234902,0.999960963634
G39000509711003,390059711003,G39007509765002,390759765002,5.3663356e-5,3.3137741e-5,3.1724514e-5,4.4571631e-5,2.6765098e-5,3.9036366e-5
G39000509711004,390059711004,G39000509711004,390059711004,1,1,1,1,1,1
G39000700001011,390070001011,G39000700001011,390070001011,1,1,1,1,1,1
G39000700001012,390070001012,G39000700001012,390070001012,1,1,1,1,1,1
G39000700001013,390070001013,G39000700001013,390070001013,1,1,1,1,1,1
G39000700001021,390070001021,G39000700001024,390070001024,1,1,1,1,1,1
G39000700001022,390070001022,G39000700001024,390070001024,1,1,1,1,1,1
G39000700001023,390070001023,G39000700001021,390070001021,1,1,1,1,1,1
G39000700001024,390070001024,G39000700001022,390070001022,1,1,1,1,1,1
G39000700001025,390070001025,G39000700001023,390070001023,1,1,1,1,1,1
G39000700001031,390070001031,G39000700001031,390070001031,1,1,1,1,1,1
G39000700001032,390070001032,G39000700001032,390070001032,1,1,1,1,1,1
G39000700001033,390070001033,G39000700001033,390070001033,1,1,1,1,1,1
G39000700001034,390070001034,G39000700001034,390070001034,1,1,1,1,1,0.965111075159
G39000700001034,390070001034,G39000700001033,390070001033,0,0,0,0,0,0.034888924841
G39000700001035,390070001035,G39000700001035,390070001035,1,1,1,1,1,0.968166194523
G39000700001035,390070001035,G39000700001032,390070001032,0,0,0,0,0,0.022880453258
G39000700001035,390070001035,G39000700001012,390070001012,0,0,0,0,0,0.008953352219
G39000700002001,390070002001,G39000700002001,390070002001,1,1,1,1,1,1
G39000700002002,390070002002,G39000700002002,390070002002,1,1,1,1,1,1
G39000700002003,390070002003,G39000700002003,390070002003,1,1,1,1,1,1
G39000700002004,390070002004,G39000700002004,390070002004,1,1,1,1,1,0.999752190078
G39000700002004,390070002004,G39000700003001,390070003001,0,0,0,0,0,2.47809922e-4
G39000700003001,390070003001,G39000700003001,390070003001,1,1,1,1,1,0.99941293723
G39000700003001,390070003001,G39000700003002,390070003002,0,0,0,0,0,5.8706277e-4
G39000700003002,390070003002,G39000700003002,390070003002,1,1,1,1,1,1
G39000700004001,390070004001,G39000700004001,390070004001,0.982608695652,0.983177570093,0.979865771812,0.982954545455,0.980446927374,0.9970435404
G39000700004001,390070004001,G39000700003001,390070003001,0.017391304348,0.016822429907,0.020134228188,0.017045454545,0.019553072626,0.0029564596
G39000700004002,390070004002,G39000700004002,390070004002,1,1,1,1,1,0.995859051488
G39000700004002,390070004002,G39000700004001,390070004001,0,0,0,0,0,0.004140948512
G39000700005001,390070005001,G39000700005001,390070005001,1,1,1,1,1,1
G39000700005002,390070005002,G39000700005002,390070005002,1,1,1,1,1,1
G39000700005003,390070005003,G39000700005003,390070005003,1,1,1,1,1,1
G39000700005004,390070005004,G39000700005004,390070005004,1,1,1,1,1,1
G39000700006011,390070006011,G39000700006011,390070006011,1,1,1,1,1,1
G39000700006012,390070006012,G39000700006012,390070006012,1,1,1,1,1,1
G39000700006013,390070006013,G39000700006013,390070006013,1,1,1,1,1,1
G39000700006021,390070006021,G39000700006021,390070006021,1,1,1,1,1,1
G39000700006022,390070006022,G39000700006022,390070006022,1,1,1,1,1,1
G39000700006023,390070006023,G39000700006023,390070006023,1,1,1,1,1,1
G39000700006024,390070006024,G39000700006024,390070006024,1,1,1,1,1,1
G39000700006031,390070006031,G39000700006031,390070006031,0.999991857944,0.999990872999,0.999990279194,0.999992681842,0.999993550545,0.999990483247
G39000700006031,390070006031,G39000700007021,390070007021,8.142056e-6,9.127001e-6,9.720806e-6,7.318158e-6,6.449455e-6,9.516753e-6
G39000700006032,390070006032,G39000700006032,390070006032,0.9999725535,0.999975126609,0.999966753993,0.999976261185,0.999980130507,0.9999869074
G39000700006032,390070006032,G39000700007021,390070007021,2.74465e-5,2.4873391e-5,3.3246007e-5,2.3738815e-5,1.9869493e-5,1.30926e-5
G39000700006033,390070006033,G39000700006033,390070006033,1,1,1,1,1,1
G39000700007011,390070007011,G39000700007011,390070007011,1,1,1,1,1,1
G39000700007012,390070007012,G39000700007012,390070007012,1,1,1,1,1,1
G39000700007013,390070007013,G39000700007012,390070007012,1,1,1,1,1,1
G39000700007014,390070007014,G39000700007013,390070007013,1,1,1,1,1,1
G39000700007021,390070007021,G39000700007021,390070007021,1,1,1,1,1,1
G39000700007022,390070007022,G39000700007022,390070007022,1,1,1,1,1,1
G39000700007023,390070007023,G39000700007023,390070007023,1,1,1,1,1,1
G39000700007031,390070007031,G39000700007031,390070007031,1,1,1,1,1,1
G39000700007032,390070007032,G39000700007032,390070007032,1,1,1,1,1,1
G39000700007033,390070007033,G39000700007033,390070007033,0.998917240041,0.999046438146,0.999065409533,0.999011955097,0.999151986797,0.999108121082
G39000700007033,390070007033,G39000700007032,390070007032,0.001082759959,9.53561854e-4,9.34590467e-4,9.88044903e-4,8.48013203e-4,8.91878918e-4
G39000700007034,390070007034,G39000700007034,390070007034,1,1,1,1,1,1
G39000700007041,390070007041,G39000700007041,390070007041,1,1,1,1,1,1
G39000700007042,390070007042,G39000700007042,390070007042,1,1,1,1,1,1
G39000700007043,390070007043,G39000700007043,390070007043,1,1,1,1,1,1
G39000700007044,390070007044,G39000700007044,390070007044,1,1,1,1,1,1
G39000700008011,390070008011,G39000700008011,390070008011,1,1,1,1,1,1
G39000700008012,390070008012,G39000700008012,390070008012,1,1,1,1,1,1
G39000700008021,390070008021,G39000700008021,390070008021,1,1,1,1,1,1
G39000700008022,390070008022,G39000700008022,390070008022,1,1,1,1,1,1
G39000700008023,390070008023,G39000700008023,390070008023,1,1,1,1,1,1
G39000700008024,390070008024,G39000700008024,390070008024,1,1,1,1,1,1
G39000700008025,390070008025,G39000700008025,390070008025,1,1,1,1,1,1
G39000700009001,390070009001,G39000700009001,390070009001,1,1,1,1,1,1
G39000700009002,390070009002,G39000700009002,390070009002,1,1,1,1,1,1
G39000700009003,390070009003,G39000700009003,390070009003,1,1,1,1,1,1
G39000700009004,390070009004,G39000700009004,390070009004,1,1,1,1,1,1
G39000700009005,390070009005,G39000700009005,390070009005,1,1,1,1,1,1
G39000700010011,390070010011,G39000700010011,390070010011,1,1,1,1,1,1
G39000700010012,390070010012,G39000700010012,390070010012,0.995141700405,0.993670886076,0.992592592593,0.993006993007,0.993421052632,0.999012267455
