region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi
394308,64,"Albany, NY","msa","NY","2019.12.31",.0328694,.0381504,476,61,.6195816,.2819146,.9819651,197779,223233,74,427,396,2508,1243.341,235226.3
394308,64,"Albany, NY","msa","NY","2023.01.31",.0439662,.052137,307,65,.4393496,.4294449,1,295259,277722,43,493,459,1836,1530.046,295928.9
394308,64,"Albany, NY","msa","NY","2022.05.31",.0436448,.0521933,368,64,.3078295,.586341,1.013389,286693,282009,21,862,1048,2000,1470.172,289833.2
394308,64,"Albany, NY","msa","NY","2020.10.31",.0358258,.0422122,625,66,.4024504,.4626004,1,217976,232667,37,704,769,2022,1286.082,247636
394308,64,"Albany, NY","msa","NY","2018.10.31",.0352842,.0412838,636,57,.5573671,.3432856,.9903526,189747,224967,58,524,713,3256,1207.017,225464.6
394308,64,"Albany, NY","msa","NY","2021.06.30",.0418139,.0470504,717,65,.2554854,.6348298,1.015838,250156,269967,18,1048,1334,2357,1351.817,269431
394308,64,"Albany, NY","msa","NY","2019.10.31",.032421,.0382012,564,61,.5529934,.3307301,.9905747,195963,227933,58,560,686,2976,1233.6,233201.7
394308,64,"Albany, NY","msa","NY","2022.04.30",.0422267,.0505692,319,67,.3541258,.5329499,1.004713,280228,270759,26,722,837,1745,1464.532,286610.6
394308,64,"Albany, NY","msa","NY","2021.11.30",.040577,.0466852,421,72,.3084547,.5650122,1.005079,272489,263967,33,950,976,2722,1393.623,274870.3
394308,64,"Albany, NY","msa","NY","2019.08.31",.0337072,.0392992,646,59,.5298385,.3532648,.9935871,198029,230965,50,626,816,3031,1230.981,232024.7
394308,64,"Albany, NY","msa","NY","2018.11.30",.0344951,.0410155,584,58,.5921386,.3155609,.9850377,190268,225800,66,458,618,3170,1204.319,225708
394308,64,"Albany, NY","msa","NY","2019.09.30",.0333414,.0387297,581,60,.5339726,.3488677,.9934029,197010,230300,52,586,761,3028,1228.841,232564.8
394308,64,"Albany, NY","msa","NY","2020.11.30",.0360314,.0428768,670,68,.4010126,.4602273,1,221050,229333,36,608,650,1883,1291.172,250493.1
394308,64,"Albany, NY","msa","NY","2021.04.30",.0391215,.0462943,547,66,.4383326,.4259003,.9967888,228621,251633,27,772,886,1717,1322.571,264102.2
394308,64,"Albany, NY","msa","NY","2022.03.31",.0432153,.0499479,332,69,.3806826,.4950989,1.000133,278511,262833,33,639,675,1665,1449.952,283249.3
394308,64,"Albany, NY","msa","NY","2022.01.31",.0421685,.0469836,439,72,.3680562,.4936654,1.000118,275660,259750,41,674,622,2062,1419.546,277945.8
394308,64,"Albany, NY","msa","NY","2022.11.30",.0428163,.0501192,390,66,.362376,.5283363,1.004449,306909,290789,31,671,745,2336,1520.503,295768.2
394308,64,"Albany, NY","msa","NY","2019.05.31",.0332869,.0396035,497,53,.6008868,.2987983,.986015,192173,229933,63,616,834,2771,1217.367,229752.3
394308,64,"Albany, NY","msa","NY","2021.03.31",.0358305,.0437719,513,68,.4683344,.3922205,.9955018,221604,241667,34,643,729,1581,1304.343,261253.3
394308,64,"Albany, NY","msa","NY","2020.04.30",.0333118,.0412277,319,57,.617158,.2652494,.9828582,204330,219633,71,393,425,1804,1249.424,238910.2
394308,64,"Albany, NY","msa","NY","2021.02.28",.034997,.0428181,422,70,.4603275,.406798,.9955018,220668,233300,39,481,515,1449,1303.396,258435.4
394308,64,"Albany, NY","msa","NY","2019.11.30",.0321935,.0376027,513,61,.5836945,.3056313,.9856241,196055,226267,63,518,557,2813,1238.541,234202.1
394308,64,"Albany, NY","msa","NY","2022.12.31",.0422551,.0502841,348,64,.4132627,.4701573,1,302819,282756,35,572,586,2101,1521,295721.9
394308,64,"Albany, NY","msa","NY","2020.12.31",.0352104,.0420713,663,70,.4096237,.4503689,1,222046,227633,39,493,484,1656,1297.292,253230.1
394308,64,"Albany, NY","msa","NY","2023.03.31",.0437324,.0510526,276,65,.4659244,.413831,1,291689,284600,41,531,535,1581,1538.569,299896.5
394308,64,"Albany, NY","msa","NY","2022.10.31",.0417374,.0483322,389,66,.311768,.5801616,1.011252,314808,296000,28,788,883,2519,1516.271,295910.7
394308,64,"Albany, NY","msa","NY","2021.01.31",.0337559,.0414303,521,70,.3975018,.4658833,1,220667,227967,42,457,480,1535,1301.881,255782.8
394308,64,"Albany, NY","msa","NY","2023.02.28",.0430956,.0506741,232,66,.4671094,.4054804,1,294132,276567,45,479,445,1652,1534.46,297215.8
394308,64,"Albany, NY","msa","NY","2018.09.30",.0352338,.0414494,654,57,.5354504,.359325,.993216,191026,226333,53,579,780,3278,1204.568,225120.2
394308,64,"Albany, NY","msa","NY","2020.09.30",.0346329,.0410569,649,63,.4305876,.4513452,1,210238,236083,39,747,834,2068,1275.278,245144.1
394308,64,"Albany, NY","msa","NY","2021.10.31",.0411236,.0470987,562,72,.2743524,.6190926,1.013755,265069,266600,27,1003,1120,2874,1379.076,273717
394308,64,"Albany, NY","msa","NY","2018.12.31",.0358183,.0423655,503,57,.6043959,.3092957,.9837476,189014,226517,74,404,482,2963,1206.952,225821.6
394312,62,"Albuquerque, NM","msa","NM","2019.04.30",.0222524,.0254983,1147,38,.6204075,.1379823,.98694,208776,249667,54,1129,1226,3595,1043.661,204808.5
394312,62,"Albuquerque, NM","msa","NM","2022.07.31",.0306277,.0344867,968,36,.2187124,.5741597,1.012649,319056,353333,12,1034,1255,2161,1472.44,315064.1
394312,62,"Albuquerque, NM","msa","NM","2022.12.31",.0254303,.0287743,660,36,.4622536,.272501,1,314216,350000,28,620,654,1927,1517.568,312377.8
394312,62,"Albuquerque, NM","msa","NM","2022.04.30",.0318226,.0360932,991,37,.2209328,.5939983,1.014298,310915,335000,13,950,1030,1574,1438.124,303920.9
