,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MI,114.0,0.4397,0.1348,0.1636,0.3455,0.4565,0.5446,0.6895,114.0,31.9561,13.3127,11.0,22.0,30.0,40.0,67.0,114.0,3511.2632,2244.4869,686.0,1532.5,2565.5,5740.25,8137.0,114.0,226993.8094,40157.6962,168175.4211,197728.2907,220359.833,241805.7602,310363.0344,114.0,9032.4123,6777.1641,1242.0,2699.0,7273.0,15359.75,22327.0,114.0,240875.2018,31236.0932,189900.0,218166.5,239933.0,251474.75,325200.0,114.0,220162.8947,32642.0347,171950.0,192567.0,215833.0,238695.0,291823.0
MN,57.0,0.3337,0.1037,0.1476,0.2771,0.3342,0.4096,0.5182,57.0,37.6316,13.0694,17.0,29.0,35.0,46.0,66.0,57.0,4832.9298,1421.2641,1892.0,3802.0,4750.0,5928.0,7238.0,57.0,327024.4999,34904.4449,280053.4979,292893.198,320084.6609,361736.6881,379767.8845,57.0,11258.0351,3141.0235,5750.0,9096.0,11148.0,13450.0,16664.0,57.0,327362.5439,16309.1358,299963.0,316600.0,325800.0,331267.0,363817.0,57.0,301526.9298,33797.3521,246515.0,269607.0,304775.0,332109.0,353843.0
MO,114.0,0.4216,0.1297,0.1743,0.3268,0.424,0.5254,0.6834,114.0,31.6579,14.3772,9.0,19.25,30.0,41.0,68.0,113.0,3156.6283,826.3395,1406.0,2579.0,3120.0,3727.0,5024.0,114.0,219486.3791,36297.5668,166633.9926,195111.4676,212851.6873,237352.3126,294510.3608,114.0,8453.886,3120.2729,3597.0,5952.5,7683.5,10740.5,16088.0,114.0,240189.5526,30082.916,183450.0,213808.0,237466.5,268333.0,291325.0,114.0,225964.4561,32274.2171,175910.0,204377.25,219547.0,248942.25,294763.0
NC,285.0,0.4367,0.1485,0.1235,0.3092,0.4661,0.5614,0.67,285.0,31.4035,13.4597,9.0,20.0,31.0,42.0,70.0,285.0,1591.9053,1188.2648,379.0,779.0,1011.0,2116.0,5368.0,284.0,266211.5317,82461.9919,146446.0243,201315.7925,253711.1901,319386.0603,451056.8465,285.0,3480.8316,2642.7007,861.0,1758.0,2254.0,4083.0,12085.0,285.0,306298.5193,62997.9138,205342.0,240696.0,318267.0,350150.0,444667.0,285.0,264662.2842,77259.186,152371.0,197519.0,254157.0,319621.0,432321.0
NE,57.0,0.3888,0.1242,0.1744,0.303,0.3788,0.4913,0.6032,57.0,32.6491,16.7891,11.0,18.0,30.0,41.0,73.0,57.0,1071.4386,295.6818,473.0,827.0,1096.0,1323.0,1644.0,57.0,233074.6636,30786.0995,190856.2876,204447.0157,229052.9116,258342.8566,281539.0423,57.0,2559.7193,767.4716,1380.0,1973.0,2532.0,3024.0,4012.0,57.0,245118.7018,18620.4512,212333.0,231899.0,244633.0,257967.0,289500.0,57.0,216864.0877,28695.4883,179185.0,190309.0,212513.0,234821.0,268199.0
NM,57.0,0.4441,0.1499,0.1991,0.3179,0.4545,0.5692,0.6944,57.0,32.4035,16.2292,11.0,18.0,29.0,45.0,69.0,57.0,1023.2632,220.0887,510.0,909.0,1007.0,1175.0,1493.0,57.0,251385.8353,43144.4557,195591.2598,211643.0361,241877.8035,291492.4401,316389.4289,57.0,2702.807,911.5024,1399.0,1961.0,2464.0,3477.0,4680.0,57.0,292785.4211,41309.2241,240133.0,254900.0,281600.0,324667.0,373000.0,57.0,256263.7544,43212.5882,197977.0,216968.0,248918.0,303037.0,320929.0
NV,57.0,0.5035,0.1343,0.254,0.3597,0.5633,0.6178,0.6483,57.0,43.4035,16.3924,17.0,26.0,47.0,55.0,74.0,57.0,3201.8772,760.3699,1535.0,2640.0,3325.0,3776.0,4670.0,57.0,348364.8105,48250.6551,290258.591,306260.618,325887.732,399878.359,434759.1484,57.0,11148.5614,2361.428,6819.0,9103.0,11387.0,12589.0,15329.0,57.0,366224.7018,61883.697,300000.0,311313.0,329997.0,433333.0,477998.0,57.0,335367.4035,54153.7598,267692.0,288493.0,316955.0,387331.0,431738.0
NY,285.0,0.4215,0.1533,0.1239,0.3016,0.415,0.5414,0.7103,285.0,47.0035,23.3956,13.0,28.0,42.0,64.0,109.0,285.0,3602.6316,5883.8964,232.0,580.0,833.0,1298.0,20882.0,285.0,267610.574,131201.6492,142635.45,178555.8423,223255.6008,280147.7142,594087.0043,285.0,15920.2947,28089.3286,845.0,1825.0,2558.0,3630.0,97260.0,285.0,276271.9439,153301.4207,156533.0,181600.0,199767.0,270759.0,647967.0,285.0,245018.2175,118912.7275,137719.0,164633.0,193468.0,278375.0,557036.0
OH,285.0,0.475,0.1393,0.1687,0.3678,0.4748,0.5934,0.7332,285.0,34.0175,18.2515,9.0,20.0,29.0,46.0,82.0,285.0,1522.3789,867.4369,250.0,649.0,1562.0,2276.0,3136.0,285.0,193957.3662,43376.705,127792.2796,159251.7939,187726.598,214014.2847,302223.7086,285.0,4608.5509,2630.3286,1151.0,2476.0,4292.0,5975.0,12368.0,285.0,203024.193,42733.658,143117.0,169917.0,185333.0,241667.0,313300.0,285.0,181707.193,38833.2355,121193.0,150453.0,176260.0,200263.0,286151.0
OK,114.0,0.455,0.114,0.2311,0.3519,0.4586,0.5554,0.646,114.0,44.7807,21.101,14.0,26.0,43.0,62.75,95.0,114.0,1604.0351,463.5225,625.0,1287.25,1543.5,1949.5,2835.0,114.0,180109.9052,27804.0084,140587.7169,156172.5676,174449.6139,205748.642,227813.8052,114.0,4778.8246,1407.6985,2461.0,3645.5,4476.0,5716.25,8369.0,114.0,244702.5614,23811.8373,199966.0,232570.5,241466.0,250458.0,317997.0,114.0,198910.9561,25809.2322,157280.0,175625.5,200609.0,221940.25,239666.0
OR,57.0,0.3522,0.1177,0.1501,0.2668,0.364,0.4545,0.5304,57.0,32.8246,13.8887,12.0,22.0,30.0,44.0,61.0,57.0,3128.2105,852.2548,1286.0,2448.0,3118.0,3704.0,4815.0,57.0,480827.6317,59306.6491,410839.2646,421272.0878,465551.1719,546119.1039,575740.584,57.0,7811.3158,2041.7375,4391.0,6310.0,7853.0,8820.0,12264.0,57.0,487785.9123,44272.4922,434333.0,446967.0,471658.0,525000.0,570967.0,57.0,452101.9123,58991.2418,380574.0,393472.0,442266.0,508973.0,547875.0
PA,171.0,0.4806,0.1413,0.1878,0.3565,0.4986,0.6076,0.7079,171.0,46.4854,23.1629,14.0,27.0,41.0,62.0,107.0,170.0,3484.4529,2805.0315,467.0,1189.75,2445.5,5513.75,10964.0,171.0,234641.7627,54023.7028,147647.7633,196206.2995,234352.0711,275987.8801,337997.7207,171.0,9894.731,7473.5801,1441.0,3585.0,7663.0,15013.5,28691.0,171.0,241730.7895,44423.2391,164116.0,200633.5,240933.0,280633.5,320450.0,171.0,229765.0234,45459.7908,160159.0,192488.5,227978.0,268423.0,320698.0
RI,57.0,0.4128,0.1457,0.181,0.2917,0.3921,0.5331,0.666,57.0,39.614,16.7724,15.0,26.0,35.0,52.0,75.0,57.0,1595.1754,436.0968,625.0,1273.0,1617.0,1961.0,2454.0,57.0,367729.2956,50396.6095,305814.753,318047.796,358853.4596,409531.0054,443194.6966,57.0,4657.9825,1831.1919,2096.0,3156.0,4230.0,6094.0,8029.0,57.0,373740.386,39729.3868,319767.0,341600.0,360517.0,398083.0,453117.0,57.0,329860.5439,46515.6028,266617.0,287874.0,329303.0,373045.0,397865.0
SC,171.0,0.5174,0.146,0.2354,0.3702,0.5663,0.6282,0.8099,170.0,45.8882,22.3327,13.0,23.25,45.0,63.0,110.0,171.0,1232.7836,314.122,591.0,1001.0,1237.0,1438.0,2109.0,171.0,243531.5687,72256.8432,149388.3462,184696.4226,232088.7896,278532.5919,412634.311,171.0,3413.2982,1320.5209,1517.0,2313.0,3046.0,4237.0,6569.0,171.0,304404.614,75908.2921,209300.0,247116.5,273967.0,376448.5,476667.0,171.0,252065.1637,65165.442,158069.0,201153.5,243127.0,284041.0,408615.0
TN,171.0,0.4514,0.1226,0.1944,0.3543,0.4802,0.55,0.6563,171.0,38.0409,15.9725,11.0,24.0,38.0,49.5,73.0,171.0,1977.7778,921.4466,690.0,1344.0,1622.0,2505.5,4549.0,171.0,256225.9998,82591.0709,143174.3528,190242.2074,234574.2832,304859.6172,452408.9143,171.0,4916.1111,2210.4569,1763.0,3304.0,4286.0,5725.0,10542.0,171.0,298822.7602,77584.0002,197967.0,239966.5,269633.0,347371.5,498267.0,171.0,260959.0819,70791.202,168220.0,198718.5,250704.0,296590.5,440055.0
TX,302.0,0.4855,0.1537,0.1171,0.3496,0.5297,0.609,0.7519,311.0,50.0932,26.4051,12.0,29.0,48.0,62.0,132.0,342.0,3312.8538,2937.9554,200.0,631.0,2488.5,5791.25,11395.0,342.0,251164.3548,101643.7238,107889.6235,170354.816,233277.262,310213.4389,542221.112,342.0,11929.7661,10235.6454,995.0,2642.75,8705.5,20056.25,36285.0,342.0,304663.3801,90575.9587,165000.0,235318.25,300449.0,351616.5,592300.0,342.0,268032.652,92030.5648,142044.0,201756.25,254160.0,318989.0,556095.0
UT,171.0,0.3786,0.1404,0.1324,0.2536,0.3996,0.4922,0.6347,171.0,28.3743,14.0206,8.0,16.5,27.0,38.5,62.0,171.0,891.2281,374.0331,256.0,616.0,800.0,1058.0,1991.0,171.0,432598.615,78752.6409,302114.7479,366732.1581,413689.5867,504405.061,568685.8402,171.0,2314.8304,878.5618,967.0,1720.0,2171.0,2708.5,4620.0,170.0,428561.7118,74003.8647,319867.0,369714.75,410300.0,497491.75,588333.0,171.0,389675.9825,80914.447,264830.0,318449.5,370716.0,465292.0,543946.0
VA,114.0,0.3718,0.1576,0.1135,0.2315,0.3526,0.5138,0.6577,114.0,45.2193,28.8897,10.0,23.0,35.0,59.75,110.0,114.0,2245.1316,667.2504,1052.0,1710.25,2144.0,2725.75,4041.0,114.0,282973.8293,36468.6179,235534.8659,248854.845,274591.6416,314944.9966,352696.3636,114.0,5822.7105,2890.2787,1936.0,3571.75,5084.5,7838.5,12707.0,114.0,292015.7807,20531.4074,256453.0,276249.0,289182.0,306467.0,339933.0,114.0,274861.4298,32750.1537,230862.0,244811.0,273995.0,301044.5,345635.0
WA,57.0,0.3148,0.1437,0.0791,0.1959,0.319,0.4318,0.567,57.0,24.3509,11.8796,8.0,15.0,21.0,32.0,50.0,57.0,4652.7368,1361.5378,1688.0,3709.0,4658.0,5842.0,7274.0,57.0,607355.5584,87322.7779,511266.9653,518247.1002,583165.2712,702012.1294,757543.4867,57.0,9254.4561,2627.4021,4223.0,6947.0,9447.0,11111.0,14072.0,57.0,602141.1404,70478.0221,499983.0,547983.0,588333.0,634650.0,750000.0,57.0,555510.5965,92131.7767,433741.0,462184.0,546927.0,636321.0,717979.0
WI,105.0,0.3758,0.1348,0.1189,0.295,0.3672,0.4562,0.6522,107.0,45.6075,16.3261,15.0,33.5,46.0,53.0,87.0,114.0,1126.8158,555.718,254.0,689.0,988.0,1555.75,2442.0,114.0,300836.5093,42328.1781,232903.1795,272432.3261,294823.3944,324744.8301,384919.7918,114.0,3550.5351,1478.8433,1020.0,2489.0,3352.5,4723.25,6535.0,114.0,295464.0702,42893.2713,219900.0,261600.0,290592.0,329934.5,390367.0,114.0,269570.1228,39948.4621,210582.0,233077.5,263685.5,292377.0,354585.0
es,57.0,0.4832,0.1205,0.2582,0.3727,0.5105,0.5767,0.6524,57.0,45.193,15.8423,19.0,31.0,47.0,56.0,73.0,57.0,355639.9825,80423.0114,177802.0,294258.0,361974.0,418936.0,516655.0,57.0,279652.9667,43625.037,226567.906,239536.2652,266239.8828,320646.2771,347272.4669,57.0,1201260.8596,309135.1438,706905.0,946905.0,1101482.0,1449965.0,1733389.0,57.0,323322.5614,37310.2378,275967.0,292133.0,314300.0,341073.0,393300.0,57.0,288700.9298,41653.6041,234181.0,249537.0,286896.0,330071.0,356911.0
