,region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi,year,state,est_num_sold_below_list
66,395006,92,"Provo, UT",msa,UT,2018-08-31,0.02194480875,0.0241086995,767.0,29.0,0.4401814257,0.3761925652,1.0,298864,358633.0,28.0,216.0,920,2196,1300.269183,348624.0135,2018,29,337.61915351190004
67,395012,43,"Raleigh, NC",msa,NC,2018-08-31,0.01953549049,0.02190379939,2147.0,38.0,0.4571815156,0.3976536184,1.0,258656,324967.0,29.0,1590.0,1901,4803,1289.833916,276663.6291,2018,16,981.5687139931999
68,395022,45,"Richmond, VA",msa,VA,2018-08-31,0.02521899362,0.02883724722,2153.0,42.0,0.4271093572,0.3273341124,1.0,230862,276232.0,36.0,538.0,1971,5447,1162.340106,235534.8659,2018,35,919.5664460516
69,395025,13,"Riverside, CA",msa,CA,2018-08-31,0.02268186454,0.02655677217,5887.0,35.0,0.4642074816,0.356264125,1.0,351430,389816.0,43.0,4564.0,6690,22009,1743.716461,374233.8231,2018,7,2732.7894441792
70,395031,52,"Rochester, NY",msa,NY,2018-08-31,0.03900563217,0.04458556331,1578.0,50.0,0.4071803023,0.4738156045,1.000114982,145576,173233.0,37.0,1047.0,1463,4199,1081.438943,156153.5691,2018,2,642.5305170294
71,395045,26,"Sacramento, CA",msa,CA,2018-08-31,0.02445926094,0.02783982122,3234.0,30.0,0.408711517,0.4087203838,1.0,390226,446133.0,30.0,2844.0,3617,9239,1703.525522,421668.7739,2018,7,1321.773045978
72,395053,48,"Salt Lake City, UT",msa,UT,2018-08-31,0.02306055592,0.0254364192,1703.0,29.0,0.4153970607,0.4203301681,1.0,308494,378300.0,25.0,445.0,1951,4227,1237.36706,347133.2829,2018,29,707.4211943721
73,395055,24,"San Antonio, TX",msa,TX,2018-08-31,0.02253758984,0.02666064231,2845.0,26.0,0.5672108771,0.2240319623,0.9899376242,213979,268100.0,54.0,1719.0,3255,11108,1182.89203,198769.5061,2018,6,1613.7149453494999
74,395056,17,"San Diego, CA",msa,CA,2018-08-31,0.02304603814,0.02701847905,3378.0,28.0,0.5536185289,0.3023639016,0.9934450729,572279,666000.0,43.0,1796.0,3907,10529,2145.947887,595527.2063,2018,7,1870.1233906241998
75,395057,12,"San Francisco, CA",msa,CA,2018-08-31,0.03777817848,0.04340909786,4052.0,27.0,0.2095668694,0.709982473,1.032791257,854654,894667.0,24.0,3043.0,4046,8162,2830.859171,909801.1194,2018,7,849.1649548088
